Group.1	1-AC-PMA	1-Abd-PMA	1-Abd	1-FH-PMA	1-FH	1-UB-PMA	1-UB	1-AC	2-AC-PMA	2-AC	2-FH-PMA	2-FH	2-PC-PMA	2-PC	2-UB-PMA	2-UB	3-AC-PMA	3-AC	3-Abd-PMA	3-Abd	3-FH-PMA	3-FH	3-PC-PMA	3-PC	3-UB-PMA	3-UB	4-AC-PMA	4-AC	4-FA-PMA	4-FA	4-FH-PMA	4-FH	4-PC-PMA	4-PC	4-UB-PMA	4-UB	5-AC-PMA	5-AC	5-FA-PMA	5-FA	5-FH-PMA	5-FH	5-PC-PMA	5-PC	5-UB-PMA	5-UB	6-AC-PMA	6-AC	6-FH-PMA	6-FH	6-PC-PMA	6-PC	6-UB-PMA	6-UB	7-FA-PMA	7-FA	7-FH-PMA	7-FH	7-PC-PMA	7-PC	7-UB-PMA	7-UB	8-AC-PMA	8-AC	8-Abd-PMA	8-Abd	8-FA-PMA	8-FA	8-FH-PMA	8-FH	8-PC-PMA	8-PC	8-UB-PMA	8-UB	9-AC-PMA	9-AC	9-FH-PMA	9-FH	9-PC-PMA	9-PC	10-Abd-PMA	10-Abd	10-FA-PMA	10-FA	10-FH-PMA	10-FH	10-UB-PMA	10-UB	11-AC-PMA	11-AC	11-FA-PMA	11-FA	11-FH-PMA	11-FH	11-PC-PMA	11-PC	11-UB-PMA	11-UB
Streptococcus salivarius	292	7.5	4.5	22	26.5	9.5	1.5	54	215	195	3	5	243	18	97	28	1114	357	348	4	0	2	456	98	0	1	307	399	111	271	212	109	183	49	0	1	94	254	603	613	6	9	419	129	37	8	472	287	149	118	722	206	14	2	687	458	9	23	321	277	30	6	26	24	171	85	223	133	23	57	138	72	68	111	493	1378	0	0	211	117	333	477	211	32	19	10	23	21	4	5	80	26	1	1	90	11	6	4
Turicella otitidis	65	19.5	11	38	58	22	40.5	36	101	17	6	6	259	49	38	29	1	2438	1781	3987	35	406	4412	2956	19	21	5355	6670	6100	10261	1689	1272	2939	1137	326	614	101	261	238	484	7	10	333	364	36	2	189	83	5	7	65	26	3	0	460	412	28	74	234	264	21	21	281	257	807	680	3240	1871	64	262	432	365	535	1650	1160	19	3	110	94	44	0	0	219	9	1	2	9	5	9	6	120	109	8	4	27	46	18	34
Neisseria elongata	506.5	61.5	27.5	11	8	19.5	15.5	36	1391	1719	20	59	2112	67	988	410	15537	7602	3633	50	5	6	757	967	1	4	462	257	165	169	74	47	806	40	217	0	509	1109	6132	7491	8	22	1558	278	119	41	922	360	115	105	1486	173	21	7	796	376	4	23	1372	380	59	21	15	14	222	263	279	137	24	138	143	38	42	102	7	106	0	99	40	10	0	211	1	55	19	6	11	20	3	0	36	19	1	0	9	9	0	2
Xanthobacter autotrophicus	46.5	29.5	3	0.5	0	4.5	4.5	30	148861	340528	688	1318	774384	523304	20162	19827	93	104	47	227	0	1	1214	904	3	4	690	454	167	277	14	4	189	73	1	3	61	110	72	105	1	1	510	159	5	0	317	95	3	10	720	91	2	2	167	71	2	0	227	132	8	4	37	22	87	33	206	38	5	5	187	23	45	40	557	47	6	459	433	97	123	63	475	148	31	71	46	43	1	2	64	38	0	0	25	16	1	3
Lactococcus lactis	207.5	12	4	22.5	10	2.5	1.5	24	288	361	10	9	73	28	229	14	1	217	80	67	0	3	205	108	1	2	250	417	530	637	37	7	428	82	1	3	128	363	701	451	15	20	2644	9820	36	3	986	313	178	70	956	333	21	0	1429	721	19	25	284	594	66	14	105	88	666	324	648	307	47	142	199	154	236	202	0	26	20	3028	156	6	280	519	1215	252	15	15	39	4	5	4	42	32	0	0	14	6	2	3
Actinomyces massiliensis	57.5	4	3.5	10	25	4	3.5	19	150	423	16	48	84	15	463	416	0	458	4	33	0	5	182	80	1	0	580	140	65	114	30	35	57	8	0	0	1170	4522	6598	11501	82	165	1943	1703	735	166	270	264	31	50	252	60	4	0	380	594	19	22	1996	241	57	27	61	7	29	49	124	42	3	20	166	104	35	21	239	1562	0	557	423	555	193	248	167	59	25	37	30	21	2	0	18	8	4	0	100	3	0	1
Brevibacterium mcbrellneri	18	33.5	39.5	57	34.5	1485	1290.5	19	14	37	1	2	1159	4	87	10	1	47	1229	1810	2	19	7468	11165	10	20	229	495	306	449	20	14	1119	309	928	367	67	155	172	256	3	6	211	167	18	5	678	747	32	108	322	597	21	8	50	34	2	4	1	224	7	5	79	142	693	650	860	658	17	64	12689	17968	109	361	325	302	3	0	620	597	0	188	0	57	14	6	78	36	2	1	14	24	1	2	6	13	0	0
Corynebacterium pyruviciproducens	193.5	73	228	171	232.5	15.5	24.5	443	72	296	6	11	2244	1941	68	59	2	81	232	244	0	5	1799	1107	1	7	260	341	286	431	16	7	486	100	3	0	32	38	41	65	0	0	126	23	4	0	35	47	4	4	3	27	3	0	425	840	7	8	657	2518	38	9	28	54	188	68	260	125	1	13	388	416	44	100	55	238	4	2	1271	776	53	3027	0	107	35	39	35	33	0	0	8	2	1	1	8	3	0	1
Anaerococcus prevotii	262	89.5	109.5	115.5	131.5	16	10.5	50	217	174	2	3	2968	2368	30	27	0	376	2	15	0	4	102	31	2	0	296	845	330	529	38	14	741	109	0	7	32	69	248	190	3	1	762	685	12	0	43	6	6	2	6	41	0	0	141	17	1	3	1	118	2	1	132	155	1019	516	1180	537	28	62	6227	8733	350	505	119	26	7	0	140	32	59	117	84	264	17	24	56	9	3	4	91	48	0	1	655	533	5	13
Abiotrophia defectiva	259.5	6	4.5	12	16	16	13	9	141	331	0	0	1418	33	8	2	1632	156	969	2	0	1	56	61	1	1	391	1293	562	939	1376	787	430	101	0	5	85	537	431	436	8	11	170	175	12	3	835	806	214	226	1041	273	22	7	1775	1361	85	105	777	358	106	43	93	74	376	279	518	242	45	269	54	110	100	200	20	10	0	164	132	29	0	0	56	82	2	0	0	1	0	0	35	17	0	0	4	4	1	1
Corynebacterium kroppenstedtii	55.5	2	3.5	19.5	27	0	5.5	32	134	383	19	65	407	270	132	110	0	0	2	23	0	0	171	76	1	3	1364	45	81	80	35	11	13	4	3	0	671	2755	3021	3937	9	30	2027	1315	163	35	1105	806	47	63	296	457	35	17	1534	1977	77	151	25	551	131	55	11	17	149	34	101	17	0	11	40	25	12	27	386	311	16	0	302	234	81	110	1598	60	2	4	21	7	4	0	44	36	0	3	74	133	1	8
Actinobaculum sp. oral taxon 183	52	4	1.5	8	9	2.5	2	0	382	726	14	54	277	20	2121	2183	0	317	76	125	0	2	31	64	1	0	97	634	362	436	66	77	114	24	0	1	725	2749	2568	3665	46	164	999	1046	579	95	230	108	31	75	822	78	4	0	59	121	3	0	13	0	9	2	116	20	164	111	338	116	18	55	192	93	27	66	543	994	0	1	55	53	20	223	156	3	44	32	17	12	5	0	40	31	0	2	2	4	1	2
Prevotella timonensis	94.5	27.5	54	81	94.5	4.5	18	29	97	76	9	15	6394	5510	56	14	1	454	75	119	3	8	715	658	6	6	87	306	491	612	21	10	469	111	38	10	41	74	275	218	0	0	1831	1299	21	3	14	1	16	1	78	8	0	1	318	269	5	16	108	1084	30	1	300	385	2129	1505	1847	1110	97	291	14846	17963	625	809	26	70	0	1	264	84	0	0	0	44	0	1	0	1	18	10	173	176	8	10	6237	9752	11	36
Actinomyces sp. oral taxon 448	22.5	3	2.5	4	6	2.5	0.5	2	515	532	12	42	13	7	893	1026	0	64	258	52	1	4	200	51	0	0	730	455	112	426	91	84	90	26	2	5	1594	6763	4039	7644	91	244	2387	1979	829	192	199	40	11	36	418	48	2	1	91	20	0	2	0	0	7	0	34	13	53	21	55	66	2	19	83	64	18	51	1	152	0	591	1503	8483	0	319	157	207	29	81	32	38	7	0	119	15	0	0	43	12	3	2
Granulicatella adiacens	167	1.5	6	9	9.5	2	3	9	159	1455	19	26	0	26	450	172	0	626	87	59	1	1	57	89	0	0	258	424	194	411	713	318	437	97	50	1	152	2392	1979	1985	17	17	650	366	119	34	523	279	175	57	505	57	12	2	512	388	20	33	172	148	25	15	26	20	348	108	178	121	21	77	102	132	67	97	257	312	0	0	40	45	0	17	0	27	3	3	13	3	1	2	19	7	0	0	20	11	3	1
Prevotella bivia	51.5	20	33.5	72.5	73	3	3	35	86	34	6	4	1038	991	51	25	0	115	246	39	0	1	122	30	0	1	686	1034	1086	1431	10	4	1429	348	52	4	14	22	35	50	2	0	165	64	9	0	6	26	12	5	84	8	0	0	690	740	10	9	297	1027	17	14	67	95	741	445	690	382	34	56	3283	3476	207	304	51	141	0	99	136	34	0	50	107	7	26	7	9	5	4	0	17	7	0	0	85	151	1	0
Pseudonocardia autotrophica	86	10.5	6	3.5	7	14.5	5.5	5	134	64	5	8	249	7	88	20	10	2826	184	38	3	5	618	148	2	1	5052	5686	13157	19595	80	49	553	185	7	8	114	174	420	386	3	2	534	292	44	2	490	121	25	19	302	118	10	0	288	281	10	16	45	25	10	1	43	54	351	146	337	182	10	22	103	74	90	204	146	78	2	872	8788	6460	346	339	220	73	11	19	5	17	4	1	35	8	0	1	21	10	1	2
Pseudomonadales bacterium RIFCSPHIGHO2_12_FULL_40_16	35.5	4.5	2	1.5	2.5	2	1.5	0	153	468	1	1	141	13	24	6	1	42	241	117	0	0	429	187	1	8	194	210	145	197	18	5	321	48	0	2	68	38	150	30	1	0	78	46	0	1	135	100	5	4	596	50	6	0	946	978	25	29	314	1238	43	10	159	146	816	516	679	371	278	1145	271	321	555	1041	223	9	3	765	138	2	87	237	168	182	69	56	174	198	6	0	35	16	0	0	20	10	0	0
Acinetobacter sp. BMW17	61	1	2.5	2.5	1.5	2.5	0	3	210	440	0	1	77	22	29	3	0	215	95	43	1	3	453	93	3	2	284	180	157	183	18	3	160	33	0	3	29	16	142	20	0	1	87	54	6	0	39	62	19	3	406	30	3	0	997	832	16	18	484	1102	32	9	133	167	907	442	629	338	235	986	313	280	474	917	177	6	0	301	234	11	174	402	219	240	95	83	220	200	5	2	38	17	0	0	25	34	3	3
Corynebacterium glucuronolyticum	48	14.5	13.5	9	16.5	2	6	10	82	5	7	7	169	223	28	15	1	240	0	29	0	0	304	147	0	0	0	45	71	88	46	36	127	15	0	1	169	319	352	525	1	3	335	184	13	0	108	24	4	6	48	34	1	0	133	43	1	3	19	183	13	1	14	26	92	32	42	23	2	2	371	338	26	43	783	767	69	1	6006	7428	1144	29489	613	1113	310	389	359	672	0	0	25	5	1	0	29	15	3	0
Corynebacterium lipophiloflavum	44	5.5	5.5	9	7.5	2	2.5	13	116	454	2	6	77	17	27	36	0	49	90	156	3	2	405	516	1	1	147	155	167	130	16	6	297	55	20	1	619	2693	4012	5340	23	43	4071	3239	352	65	2402	2123	138	225	1677	2046	71	27	104	125	2	0	1	135	12	5	76	23	88	47	185	60	6	17	184	115	21	94	326	464	7	140	3168	1719	78	96	136	36	13	13	6	13	0	1	26	9	0	0	9	16	0	0
Mycobacterium chelonae	45.5	3.5	1	2	1.5	3	0.5	12	87	96	6	3	36	59	14	13	116	2587	25	47	1	3	272	98	0	0	6696	10222	16866	32314	45	22	502	105	3	6	39	200	422	490	1	2	349	141	50	0	206	79	8	18	365	198	5	3	619	119	7	2	186	136	24	4	34	8	101	16	76	30	0	25	10	54	21	42	122	127	14	700	5402	3652	0	25	196	27	2	10	9	11	4	3	27	42	3	0	20	27	1	4
Staphylococcus equorum	4	1	2.5	15	45.5	1	0.5	7	63	102	7	3	39	3	45	13	0	525	0	36	5	4	516	32	0	0	1359	1802	2042	3647	91	30	776	140	0	9	6	42	69	25	1	1	128	83	55	1	93	96	0	5	225	23	0	0	315	246	7	9	281	260	21	4	170	135	502	270	788	479	47	116	217	380	339	407	158	38	0	354	347	187	23	199	158	246	24	2	6	7	3	0	25	5	0	0	10	5	1	2
Anaerococcus provenciensis	46	7.5	14.5	44	46	4.5	1.5	17	146	6	1	1	256	145	9	6	0	32	40	31	0	0	229	205	0	2	117	163	137	206	9	2	155	30	0	2	10	62	29	71	0	1	454	376	6	2	35	25	13	5	155	69	1	0	393	315	22	23	162	1072	27	5	23	36	217	201	341	157	9	13	2596	4749	91	122	58	20	9	16	258	169	62	286	21	13	20	20	63	28	0	0	16	0	0	0	43	35	0	0
Prevotella buccalis	50	14	19.5	12.5	12.5	5	2	10	334	174	4	8	3829	3509	22	13	0	41	0	66	0	2	162	161	0	3	0	159	253	338	14	4	342	110	0	11	11	21	52	51	0	0	286	295	4	6	56	44	12	6	234	123	2	0	395	241	15	14	278	1583	42	5	172	139	980	605	812	466	34	153	8746	8907	226	371	94	56	4	2176	713	213	218	445	69	6	7	4	83	11	4	1	21	19	0	8	492	896	1	3
Staphylococcus lugdunensis	13.5	0.5	0	6.5	3.5	2.5	0.5	4	15	42	4	12	1150	352	52	17	0	0	276	845	0	9	2173	3488	4	5	387	415	106	311	39	23	590	103	0	5	7	34	40	33	0	1	1341	1001	10	1	332	272	54	18	742	910	5	4	208	149	7	19	131	104	10	2	79	70	240	128	362	186	133	417	298	207	185	240	27	4	0	229	19	43	6	72	38	17	18	30	21	16	18	9	190	54	9	4	59	26	3	1
Psychrobacter alimentarius	29.5	2	3	1.5	2.5	2.5	4	14	3	0	1	0	0	0	6	7	0	385	90	5	0	1	29	4	0	0	960	1873	5539	6562	96	54	1117	296	5	26	54	291	742	643	24	33	2205	1884	209	61	40	44	1	1	346	37	0	0	1124	1484	29	58	133	1161	39	13	146	148	599	419	913	543	40	104	455	661	356	588	0	8	8	0	93	9	13	22	35	13	20	23	3	6	0	0	4	4	0	1	2	8	1	1
Aerococcus viridans	5.5	2	3	5.5	4	3	1.5	2	15	113	9	17	1	1	33	29	21	1556	0	12	2	0	39	33	0	1	2231	6432	1867	3778	146	66	4327	963	90	101	54	85	42	59	3	4	127	197	15	5	186	116	24	15	28	80	1	0	123	249	4	5	1	29	12	5	338	522	1153	582	2533	1389	68	225	870	883	1037	1373	38	6	2	211	60	13	310	112	69	57	0	3	36	1	0	0	17	7	0	0	0	14	1	0
Peptoniphilus grossensis	38.5	14	12.5	6.5	11.5	4	2	6	6	15	5	13	1864	1440	19	10	0	122	0	20	1	0	127	43	0	0	130	170	265	403	13	5	325	57	0	1	17	88	286	217	1	1	1290	819	15	6	10	2	3	2	144	52	1	0	113	82	1	3	106	343	8	0	130	160	1224	780	1474	651	44	78	11709	16187	412	457	45	62	0	188	155	169	20	3	83	0	2	2	0	2	6	4	64	41	3	4	1117	1241	9	15
Porphyromonas bennonis	48	21	24.5	6.5	4	1	1.5	7	10	67	2	1	2949	1839	22	14	0	87	0	69	1	2	227	103	1	1	124	245	467	633	19	4	537	144	2	15	13	2	0	16	0	1	426	87	1	0	99	72	4	9	197	153	3	2	53	32	0	0	113	70	0	0	116	214	1304	864	1398	634	21	63	29789	29919	289	472	0	6	0	175	56	41	43	87	0	30	0	1	0	1	2	3	59	10	0	0	123	229	0	1
Psychrobacter sp. TB15	1797	188.5	478.5	29	55	261.5	511.5	734	101	193	1	0	166	40	14	20	0	987	0	4	0	0	68	75	0	0	1607	3805	953	1302	38	11	728	148	1	3	81	166	503	577	2	2	1946	1665	76	14	40	31	2	11	87	51	11	0	375	312	6	9	5	31	5	4	163	113	433	189	686	230	14	49	227	159	191	269	0	0	0	1	28	13	11	36	31	4	0	3	0	0	1	0	5	10	1	0	2	0	0	0
Peptoniphilus harei	123	53.5	83.5	62	57.5	9	3.5	27	67	679	7	6	1959	1726	21	12	0	81	0	30	0	0	11	52	3	0	266	1315	476	627	16	9	638	97	0	3	5	7	9	19	0	0	130	93	2	0	7	1	5	1	13	6	1	0	191	239	5	6	177	982	31	4	22	90	516	354	832	403	21	45	5650	6868	203	235	4	14	0	0	24	16	0	258	18	64	5	6	26	8	1	0	5	11	0	1	115	79	0	1
Streptococcus intermedius	23	1	1	10.5	17	2	0	0	143	160	6	7	58	7	599	342	0	0	72	29	0	0	111	29	0	0	201	83	44	53	37	7	39	4	0	0	264	996	1782	1629	28	47	545	474	304	78	45	45	16	14	26	19	0	0	86	49	1	8	0	6	14	0	7	3	26	23	39	22	2	6	163	187	11	13	74	223	0	0	7	3	0	10	81	47	24	36	0	6	4	0	27	11	0	0	131	154	0	0
Prevotella corporis	21.5	11	17	9	4.5	3	1	7	108	125	10	6	5758	7698	51	30	0	131	0	30	0	0	49	118	3	0	80	239	154	237	18	15	1288	323	0	17	63	269	503	561	6	4	4070	2977	36	9	7	0	12	0	0	72	3	0	55	70	1	1	166	153	5	0	119	73	402	266	530	264	15	37	3578	3866	136	159	107	52	5	238	8	7	0	0	0	0	9	5	16	0	0	6	118	76	0	1	1150	1926	0	19
Staphylococcus pettenkoferi	44.5	0	0.5	8	4.5	2	0.5	27	22	99	25	19	63	2	129	38	6	6	930	2242	33	26	14916	24149	12	39	120	62	34	27	6	3	68	7	0	0	17	8	25	19	4	12	169	155	8	1	77	11	489	73	93	28	4	2	34	19	9	1	2	5	9	1	0	0	18	15	82	5	6	16	11	12	10	9	7	55	29	0	86	18	0	115	174	227	17	6	16	8	8	0	4	3	5	3	1	2	0	3
Levyella massiliensis	6.5	5	9.5	1.5	1.5	2.5	3	4	51	1096	4	11	6320	6634	36	17	0	1	0	18	0	0	94	62	0	0	0	220	445	532	10	6	544	93	10	14	0	9	0	1	0	0	19	2	0	0	113	79	1	10	271	137	0	2	278	234	2	1	226	1469	10	2	192	146	1190	765	1297	878	18	53	16221	20325	189	451	253	118	0	0	781	556	0	18	0	16	3	6	5	3	6	1	68	86	0	0	326	644	9	21
Lactobacillus jensenii	42.5	13	12	10.5	13	0.5	0	4	505	481	10	17	1985	1527	85	11	2	35	0	26	0	0	53	1	0	0	123	106	151	185	13	5	382	79	0	2	0	4	28	8	0	0	25	31	2	0	9	49	2	0	96	16	0	1	1585	726	9	11	949	3416	67	16	52	52	406	328	749	298	17	58	3037	3683	132	202	0	18	3	0	0	12	0	1	0	0	1	1	0	2	1	0	12	5	0	0	15	50	0	0
Anaerococcus obesiensis	20.5	8	16	14	16.5	3	0.5	8	9	78	2	0	877	728	12	6	0	4	0	8	0	1	14	102	0	0	155	187	190	283	6	3	434	88	0	7	19	2	16	9	0	0	116	92	0	0	0	20	3	1	107	17	0	0	32	3	0	0	20	16	4	2	50	96	605	295	728	346	14	19	6181	9306	220	220	34	24	4	0	222	91	0	180	0	12	0	10	13	7	5	1	46	23	0	0	529	411	7	4
Acinetobacter lwoffii	8	1	0	0.5	0	0	0	2	35	38	0	0	16	0	18	5	4	1	103	95	0	2	333	237	3	4	81	29	25	42	2	0	58	12	0	1	11	7	42	7	0	0	32	9	0	0	17	9	3	1	141	14	0	0	241	221	16	7	135	357	18	8	32	18	177	104	124	98	62	279	43	52	99	153	14	6	0	67	20	11	118	237	152	111	16	12	46	52	0	2	31	13	0	0	8	4	0	1
Varibaculum sp. Marseille-P2802	5	1	1.5	3	3	0.5	0.5	1	22	46	2	0	760	739	15	6	0	0	154	47	0	0	236	252	0	0	126	44	49	94	3	4	118	10	18	3	11	33	60	75	1	1	225	170	3	0	20	0	0	0	0	3	0	0	19	24	0	0	19	87	3	3	55	87	512	365	440	271	9	26	3056	4133	44	115	47	100	0	0	111	109	0	0	59	51	7	3	12	8	1	1	35	13	1	7	309	375	3	7
Shigella flexneri	24.5	5.5	0.5	0.5	0	1.5	0	12	493	291	0	1	142	83	239	4	0	59	196	14	0	0	507	22	0	1	313	260	62	20	7	3	1860	18	1	2	116	7	236	49	1	1	1368	23	11	2	144	13	0	2	180	15	4	10	51	0	1	0	251	57	159	2	36	0	72	5	43	7	1	0	68	18	29	1	52	7	24	2656	187	5	118	289	688	52	11	1	27	0	1	0	6	1	0	0	13	7	1	0
Prevotella copri	2.5	0.5	1	4	5	0.5	2.5	4	110	20	0	1	32	43	15	5	0	116	0	3	0	0	2	0	0	0	307	190	157	168	18	7	566	108	0	0	74	203	538	577	3	12	3438	3300	25	12	9	52	5	3	57	34	1	1	11	10	0	0	9	0	1	0	40	39	80	43	197	62	5	15	197	139	70	57	16489	13957	6	0	995	410	0	0	0	58	1	1	7	7	1	0	20	7	0	0	8	5	0	1
Staphylococcus sp. DORA_6_22	22.5	0	0.5	2.5	0.5	0	0	12	6	0	93	56	3	8	78	24	0	0	7	52	5	5	37	84	0	1	14	59	6	19	10	7	10	1	0	0	2	10	38	7	23	11	56	19	53	1	20	22	318	71	88	6	2	3	30	16	8	1	17	2	4	2	6	0	20	3	17	6	13	28	0	14	3	17	11	21	27	0	94	24	43	0	0	7	111	42	3	1	0	0	5	0	3	2	13	4	0	2
Tissierellia bacterium S7-1-4	5.5	2.5	5.5	2	2.5	1.5	1.5	0	30	116	7	6	5960	5484	59	11	0	94	6	22	0	0	80	229	2	0	31	103	142	202	3	2	131	49	0	4	11	2	14	8	0	1	65	17	0	0	2	7	1	1	2	34	0	0	19	15	0	0	6	43	2	0	52	60	674	376	616	280	10	24	6209	8041	157	177	48	9	7	0	166	43	0	3	104	28	1	2	1	1	0	0	5	3	0	0	54	63	2	1
Lactobacillus delbrueckii	107.5	1.5	13.5	28	31.5	4	2.5	37	0	45	1	0	0	7	5	0	6	35	0	0	0	0	34	0	0	0	437	135	265	266	17	8	2629	523	0	2	1	13	1	17	0	0	47	85	13	0	246	47	0	0	206	45	0	0	1145	750	43	38	133	257	27	16	320	230	3462	1472	2669	1381	692	2265	1157	674	266	442	17	1	0	0	27	5	0	0	83	308	0	2	0	1	0	1	16	2	0	1	6	1	2	0
Peptoniphilus lacrimalis	5.5	6.5	6	9	4	1.5	1.5	0	2	56	1	0	992	787	0	8	0	2	0	27	2	1	148	237	0	1	63	111	177	227	5	2	207	73	0	0	4	15	32	20	0	0	140	104	2	0	17	25	4	0	3	2	1	1	34	49	1	2	0	140	0	0	26	69	645	313	641	278	14	29	8170	11219	215	194	0	9	1	0	39	48	0	405	1	0	1	5	0	1	3	0	21	11	0	1	313	269	6	4
Bifidobacterium breve	14.5	0.5	0	1.5	0.5	6.5	5	8	98	0	0	2	0	12	32	3	0	0	0	8	0	1	28	20	4	2	0	24	13	26	4	2	20	4	0	0	9	17	23	14	0	2	26	5	7	0	53	0	1	4	2	2	1	0	27	11	2	0	0	147	3	0	0	0	32	23	21	2	1	1	23	24	7	6	47	169	0	1	4	25	0	0	119	18	10	1	0	0	5	10	320	285	4	11	5372	10171	21	48
Shigella dysenteriae	32.5	4	0	0	1	0	0	22	363	69	4	0	7	34	281	7	0	47	3	20	0	0	270	42	0	0	59	182	15	20	9	0	1093	12	8	0	21	2	84	31	1	2	731	26	1	0	96	3	3	0	106	3	7	2	54	33	0	0	19	2	115	1	2	2	14	2	27	1	0	1	67	11	17	3	103	2	11	471	164	1	116	217	818	81	8	2	29	1	1	0	5	2	1	3	9	5	0	1
Staphylococcus sp. HMSC062B11	86.5	0.5	0	7.5	8.5	0	0	75	33	10	56	27	2	9	52	16	0	0	0	2	6	2	1	40	1	2	0	53	4	11	6	0	105	11	1	1	0	2	12	5	7	3	79	13	19	1	41	18	66	14	0	1	0	0	57	5	6	8	0	2	1	0	2	5	16	3	26	5	18	23	0	0	1	5	8	36	14	0	14	18	0	0	0	0	73	33	1	3	1	0	0	3	2	0	38	8	0	1
Facklamia hominis	0	0	1.5	3	0	0.5	0.5	2	0	96	3	0	369	309	3	5	0	18	0	10	0	0	52	14	0	2	4	139	109	193	13	1	96	31	10	6	9	0	4	7	0	0	57	2	1	0	0	0	0	3	0	8	0	0	102	82	2	4	143	441	3	2	58	42	281	190	524	211	12	22	4201	6743	115	223	0	0	0	0	0	30	0	41	0	43	0	1	0	1	0	0	1	4	0	0	1	8	0	0
Peptoniphilus sp. oral taxon 375	3.5	1.5	5	3.5	4	1	0	5	39	8	0	1	659	612	0	0	0	3	26	0	0	0	39	25	0	0	62	42	106	109	1	1	65	18	0	0	4	3	16	27	0	0	66	75	2	0	1	0	0	0	2	8	0	0	17	7	0	0	1	0	0	1	44	35	271	183	363	191	4	6	3412	4224	67	99	0	4	0	0	30	15	0	62	0	0	0	1	8	4	0	0	2	2	0	0	20	35	0	0
Lactobacillus iners	265.5	79	84.5	61	73.5	12	14.5	21	0	15	0	1	58	8	2	1	0	58	11	7	0	0	13	45	0	0	71	2	0	7	2	0	1	0	0	0	0	0	30	30	0	0	55	4	0	0	4	13	1	2	0	0	6	0	14	14	1	1	1	0	379	0	0	3	10	268	21	4	0	6	2	36	8	3	29	0	2	229	0	2	0	0	5	0	0	0	11	0	49	9	381	222	0	5	254	293	25	43
Kallipyga massiliensis	2	2	3.5	3.5	1	1	1	0	1	79	0	0	170	199	0	2	0	41	0	0	0	0	28	28	0	0	241	322	417	714	14	2	343	80	0	11	0	0	0	7	0	0	105	92	4	0	16	0	2	0	2	0	1	0	23	20	0	0	0	20	0	0	228	215	1003	759	1470	860	10	46	22933	26516	288	507	42	11	0	1	8	35	0	0	0	1	0	1	8	0	0	1	3	0	1	0	7	14	0	2
Arcanobacterium haemolyticum	0	0.5	1	1.5	0	0	0	2	0	0	0	2	68	18	0	0	0	0	0	3	0	0	0	8	0	0	0	28	3	15	6	4	40	8	0	0	0	1	17	4	0	0	0	12	0	0	4	62	0	1	39	17	0	0	0	0	0	0	0	0	3	0	0	3	18	2	26	21	0	4	129	50	7	11	123	226	0	0	457	508	70	1828	0	1	5	8	41	6	0	0	0	2	0	0	46	19	0	0
Actinomyces neuii	1.5	1	0	1	0	0.5	0	0	54	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	3	0	0	1	2	0	1	0	0	2	0	2	0	5	1	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	2	4	0	0	0	15	0	0	2	0	56	2	3	22	51	0	72	0	0	0	1	0	2	0	0	0	0	0	0	6	27	0	1
Actinomyces sp. HMSC08A01	0	0.5	1	0	0.5	0	2	1	0	0	0	0	0	6	0	0	0	0	0	5	0	0	11	27	0	0	0	13	0	6	0	0	0	6	0	0	1	0	12	2	0	0	0	7	0	0	4	0	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	3	1	1	14	3	0	1	21	72	0	1	0	39	0	0	53	27	0	127	0	14	0	1	0	1	0	0	0	0	0	0	12	14	0	0
