#FeatureID	1-AC-PMA_filtered	1-Abd-PMA_filtered	1-Abd_filtered	1-FH-PMA_filtered	1-FH_filtered	1-PC-PMA_filtered	1-UB-PMA_filtered	1-UB_filtered	10-AC_filtered	10-Abd_PMA_filtered	10-Abd_filtered	10-FA_PMA_filtered	10-FA_filtered	10-FH_PMA_filtered	10-FH_filtered	10-PC_filtered	10-UB_PMA_filtered	10-UB_filtered	11-AC_PMA_filtered	11-AC_filtered	11-Abd_filtered	11-FA_PMA_filtered	11-FA_filtered	11-FH_PMA_filtered	11-FH_filtered	11-PC_PMA_filtered	11-PC_filtered	11-UB_PMA_filtered	11-UB_filtered	1bis-AC-PMA_filtered	1bis-AC_filtered	1bis-Abd-PMA_filtered	1bis-Abd_filtered	1bis-FA-PMA_filtered	1bis-FH-PMA_filtered	1bis-FH_filtered	1bis-PC-PMA_filtered	1bis-UB-PMA_filtered	1bis-UB_filtered	2-AC-PMA_filtered	2-AC_filtered	2-Abd-PMA_filtered	2-FA_filtered	2-FH-PMA_filtered	2-FH_filtered	2-PC-PMA_filtered	2-PC_filtered	2-UB-PMA_filtered	2-UB_filtered	3-AC-PMA_filtered	3-AC_filtered	3-Abd-PMA_filtered	3-Abd_filtered	3-FA_filtered	3-FH-PMA_filtered	3-FH_filtered	3-PC-PMA_filtered	3-PC_filtered	3-UB-PMA_filtered	3-UB_filtered	4-AC-PMA_filtered	4-AC_filtered	4-Abd_filtered	4-FA-PMA_filtered	4-FA_filtered	4-FH-PMA_filtered	4-FH_filtered	4-PC-PMA_filtered	4-PC_filtered	4-UB-PMA_filtered	4-UB_filtered	5-AC-PMA_filtered	5-AC_filtered	5-Abd_filtered	5-FA-PMA_filtered	5-FA_filtered	5-FH-PMA_filtered	5-FH_filtered	5-PC-PMA_filtered	5-PC_filtered	5-UB-PMA_filtered	5-UB_filtered	6-AC-PMA_filtered	6-AC_filtered	6-Abd_filtered	6-FA_filtered	6-FH-PMA_filtered	6-FH_filtered	6-PC-PMA_filtered	6-PC_filtered	6-UB-PMA_filtered	6-UB_filtered	7-AC_filtered	7-Abd_filtered	7-FA-PMA_filtered	7-FA_filtered	7-FH-PMA_filtered	7-FH_filtered	7-PC-PMA_filtered	7-PC_filtered	7-UB-PMA_filtered	7-UB_filtered	8-AC_PMA_filtered	8-AC_filtered	8-Abd_PMA_filtered	8-Abd_filtered	8-FA_PMA_filtered	8-FA_filtered	8-FH_PMA_filtered	8-FH_filtered	8-PC_PMA_filtered	8-PC_filtered	8-UB_PMA_filtered	8-UB_filtered	9-AC_PMA_filtered	9-AC_filtered	9-Abd_filtered	9-FA_filtered	9-FH_PMA_filtered	9-FH_filtered	9-PC_PMA_filtered	9-PC_filtered	9-UB_filtered
[Propionibacterium] namnetense	45880	34176	11757	21531	21779	24547	18139	21630	19115	5739	13517	5554	3797	30912	30755	19341	32074	47310	433	134	1176	2290	1393	7791	6427	469	310	5242	5503	16207	14960	10274	6641	33596	20296	23145	32702	10937	9735	7681	8548	13166	23087	11407	19010	3356	1065	39006	30969	40	10972	42167	50180	16550	15746	13451	29547	33523	20897	17211	20396	28602	141374	33730	55287	32990	16621	9109	2052	34139	16017	48419	84078	80395	37856	32998	11974	12609	51585	24442	46714	6649	149414	215765	52214	206031	21408	38450	40969	46684	13450	6823	29330	47205	30365	32502	22278	15028	4611	11416	62810	29525	5085	4461	20358	15170	42097	23896	25495	105817	7589	6039	14535	37053	4246	9236	6405	8427	7377	6043	5315	6248	19222
Abiotrophia defectiva	366	7	9	16	21	286	32	26	0	0	0	56	82	2	0	6	0	1	0	0	1	35	17	0	0	4	4	1	1	153	9	5	0	134	8	11	120	0	0	141	331	51	58	0	0	1418	33	8	2	1632	156	969	2	16	0	1	56	61	1	1	391	1293	2564	562	939	1376	787	430	101	0	5	85	537	291	431	436	8	11	170	175	12	3	835	806	304	1314	214	226	1041	273	22	7	2202	1110	1775	1361	85	105	777	358	106	43	93	74	376	279	518	242	45	269	54	110	100	200	20	10	14	49	0	164	132	29	0
Acinetobacter johnsonii	117	10	6	3	11	69	13	8	2610	64	475	275	363	69	78	313	213	174	10	7	24	81	72	0	5	51	73	3	11	35	20	5	0	294	5	7	393	2	4	863	809	485	699	0	5	959	498	147	36	78	184	951	992	499	0	2	1757	1915	18	14	354	445	869	310	494	34	11	444	66	0	8	60	59	828	189	117	0	2	497	208	12	3	611	231	70	333	23	26	891	188	25	8	197	216	1337	1152	36	42	223	1042	77	20	256	226	1037	582	1171	488	281	1040	557	448	665	913	241	36	69	1038	15	863	461	95	1
Acinetobacter lwoffii	15	2	0	0	0	39	0	0	142	118	237	152	111	16	12	60	46	52	0	2	2	31	13	0	0	8	4	0	1	1	2	0	0	1	1	0	1	0	0	35	38	0	13	0	0	16	0	18	5	4	1	103	95	69	0	2	333	237	3	4	81	29	111	25	42	2	0	58	12	0	1	11	7	18	42	7	0	0	32	9	0	0	17	9	9	15	3	1	141	14	0	0	77	82	241	221	16	7	135	357	18	8	32	18	177	104	124	98	62	279	43	52	99	153	14	6	7	267	0	67	20	11	0
Acinetobacter sp. BMW17	87	2	5	3	3	65	3	0	1634	174	402	219	240	95	83	186	220	200	5	2	8	38	17	0	0	25	34	3	3	35	3	0	0	65	2	0	197	2	0	210	440	844	48	0	1	77	22	29	3	0	215	95	43	73	1	3	453	93	3	2	284	180	472	157	183	18	3	160	33	0	3	29	16	124	142	20	0	1	87	54	6	0	39	62	41	66	19	3	406	30	3	0	221	384	997	832	16	18	484	1102	32	9	133	167	907	442	629	338	235	986	313	280	474	917	177	6	17	1201	0	301	234	11	3
Acinetobacter ursingii	388	8	14	35	32	565	5	4	2042	513	1262	1097	280	203	205	185	398	444	8	8	23	114	41	5	4	61	77	6	4	0	37	2	8	807	31	27	435	2	5	680	974	98	2431	12	5	219	42	260	60	210	415	8942	9372	5381	14	29	22437	49181	43	133	1158	1388	2262	1093	1527	211	54	839	171	1	14	112	47	228	146	58	0	0	642	122	6	1	2139	1569	564	1979	180	72	1411	781	52	20	615	492	1800	1225	80	78	463	1185	291	67	645	730	2161	1087	4209	2119	248	697	1765	1787	913	1521	501	20	87	3909	58	1167	478	28	2
Actinobaculum sp. oral taxon 183	104	8	3	4	17	24	4	2	37	20	223	156	3	44	32	211	17	12	5	0	3	40	31	0	2	2	4	1	2	0	0	0	0	33	12	1	88	1	2	382	726	113	3469	14	54	277	20	2121	2183	0	317	76	125	60	0	2	31	64	1	0	97	634	1795	362	436	66	77	114	24	0	1	725	2749	7430	2568	3665	46	164	999	1046	579	95	230	108	93	423	31	75	822	78	4	0	40	0	59	121	3	0	13	0	9	2	116	20	164	111	338	116	18	55	192	93	27	66	543	994	81	54	0	1	55	53	1
Actinomyces johnsonii	237	23	21	29	43	156	26	7	165	59	81	131	224	47	50	270	24	15	5	0	2	29	16	1	0	4	1	2	6	39	23	1	6	282	10	16	174	7	3	550	610	528	1143	20	49	256	39	1070	937	564	878	6	31	85	2	6	282	118	0	0	622	307	531	185	239	311	193	63	39	14	5	512	1659	4595	2517	3388	26	75	729	747	403	45	561	387	309	1273	98	298	433	207	15	4	448	631	525	377	14	19	194	232	53	26	20	35	76	46	166	99	9	54	103	43	30	68	169	135	111	114	0	266	97	78	1
Actinomyces massiliensis	115	8	7	15	43	43	5	4	101	193	248	167	59	25	37	1199	30	21	2	0	0	18	8	4	0	100	3	0	1	0	19	0	0	296	5	7	49	3	3	150	423	0	499	16	48	84	15	463	416	0	458	4	33	194	0	5	182	80	1	0	580	140	372	65	114	30	35	57	8	0	0	1170	4522	13152	6598	11501	82	165	1943	1703	735	166	270	264	132	222	31	50	252	60	4	0	636	377	380	594	19	22	1996	241	57	27	61	7	29	49	124	42	3	20	166	104	35	21	239	1562	70	280	0	557	423	555	3
Actinomyces neuii	3	2	0	0	0	137	1	0	0	0	72	0	0	0	1	26	0	2	0	0	0	0	0	0	0	6	27	0	1	0	0	0	0	0	2	0	14	0	0	54	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	0	0	1	0	0	3	0	0	1	2	16	0	1	0	0	2	0	2	0	5	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	2	4	0	0	0	15	0	0	2	0	56	50	21	2	3	22	51	0
Actinomyces odontolyticus	443	70	5	21	42	849	22	33	62	141	106	159	64	23	25	146	19	18	3	1	14	108	142	2	13	134	14	2	5	55	52	0	6	735	22	29	391	1	5	648	2190	999	8565	62	134	754	44	1414	1202	3782	2568	2840	374	326	2	7	769	328	0	0	2141	1726	4172	999	1635	1503	1480	590	175	0	11	95	237	1142	270	286	6	15	632	106	26	4	1230	549	190	877	103	193	199	184	15	0	905	1504	702	724	19	27	577	64	43	12	118	66	293	281	530	244	17	95	235	130	105	212	868	2455	527	1155	1	748	215	182	3
Actinomyces oris	372	38	11	39	83	1053	23	41	773	61	409	1017	362	88	92	1842	49	75	11	1	26	251	112	2	14	51	51	5	10	20	58	1	16	370	18	37	522	49	29	1503	2982	1569	5769	101	254	54	100	2485	2486	0	2823	513	501	488	3	17	1075	539	1	3	4910	4846	8356	2910	4177	6152	6136	1560	395	36	32	2199	8366	21944	15095	26580	138	326	3433	2980	1307	298	1672	1513	1075	5030	590	1100	2431	859	20	13	2614	3701	1932	2067	77	117	987	1123	238	69	291	167	687	583	1378	732	77	395	651	574	200	475	567	743	684	556	3	373	711	492	10
Actinomyces sp. HMSC08A01	0	0	0	0	0	41	0	2	0	0	127	0	14	0	1	71	0	1	0	0	0	0	0	0	0	12	14	0	0	0	1	1	2	0	0	1	141	0	2	0	0	0	0	0	0	0	6	0	0	0	0	0	5	9	0	0	11	27	0	0	0	13	10	0	6	0	0	0	6	0	0	1	0	25	12	2	0	0	0	7	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	3	1	1	14	3	0	1	21	72	0	1	0	39	33	22	0	0	53	27	2
Actinomyces sp. oral taxon 448	29	4	4	7	10	24	4	0	1687	0	319	157	207	29	81	2171	32	38	7	0	2	119	15	0	0	43	12	3	2	16	2	2	1	12	1	2	20	1	1	515	532	5	1254	12	42	13	7	893	1026	0	64	258	52	22	1	4	200	51	0	0	730	455	655	112	426	91	84	90	26	2	5	1594	6763	14345	4039	7644	91	244	2387	1979	829	192	199	40	24	159	11	36	418	48	2	1	16	77	91	20	0	2	0	0	7	0	34	13	53	21	55	66	2	19	83	64	18	51	1	152	39	21	0	591	1503	8483	0
Aerococcus viridans	11	4	2	7	7	57	5	3	194	310	112	69	57	0	3	36	36	1	0	0	0	17	7	0	0	0	14	1	0	0	2	0	4	0	4	1	27	1	0	15	113	85	429	9	17	1	1	33	29	21	1556	0	12	5	2	0	39	33	0	1	2231	6432	18551	1867	3778	146	66	4327	963	90	101	54	85	87	42	59	3	4	127	197	15	5	186	116	54	84	24	15	28	80	1	0	49	33	123	249	4	5	1	29	12	5	338	522	1153	582	2533	1389	68	225	870	883	1037	1373	38	6	11	12	2	211	60	13	0
Anaerococcus obesiensis	30	9	10	6	8	437	5	0	0	0	180	0	12	0	10	283	13	7	5	1	8	46	23	0	0	529	411	7	4	11	8	7	22	7	22	25	897	1	1	9	78	84	55	2	0	877	728	12	6	0	4	0	8	19	0	1	14	102	0	0	155	187	1206	190	283	6	3	434	88	0	7	19	2	104	16	9	0	0	116	92	0	0	0	20	2	8	3	1	107	17	0	0	0	6	32	3	0	0	20	16	4	2	50	96	605	295	728	346	14	19	6181	9306	220	220	34	24	66	39	4	0	222	91	0
Anaerococcus prevotii	479	117	75	35	67	3707	16	17	232	59	117	84	264	17	24	389	56	9	3	4	20	91	48	0	1	655	533	5	13	45	50	62	144	813	196	196	6158	16	4	217	174	3554	723	2	3	2968	2368	30	27	0	376	2	15	289	0	4	102	31	2	0	296	845	2948	330	529	38	14	741	109	0	7	32	69	542	248	190	3	1	762	685	12	0	43	6	3	9	6	2	6	41	0	0	1	6	141	17	1	3	1	118	2	1	132	155	1019	516	1180	537	28	62	6227	8733	350	505	119	26	68	45	7	0	140	32	0
Anaerococcus provenciensis	92	7	3	7	13	244	2	0	149	62	286	21	13	20	20	378	63	28	0	0	2	16	0	0	0	43	35	0	0	0	17	8	26	156	81	79	490	7	3	146	6	120	49	1	1	256	145	9	6	0	32	40	31	63	0	0	229	205	0	2	117	163	687	137	206	9	2	155	30	0	2	10	62	194	29	71	0	1	454	376	6	2	35	25	19	28	13	5	155	69	1	0	45	304	393	315	22	23	162	1072	27	5	23	36	217	201	341	157	9	13	2596	4749	91	122	58	20	198	175	9	16	258	169	0
Arcanobacterium haemolyticum	0	0	0	0	0	52	0	0	132	70	1828	0	1	5	8	902	41	6	0	0	0	0	2	0	0	46	19	0	0	0	2	1	2	0	3	0	71	0	0	0	0	0	16	0	2	68	18	0	0	0	0	0	3	2	0	0	0	8	0	0	0	28	201	3	15	6	4	40	8	0	0	0	1	64	17	4	0	0	0	12	0	0	4	62	2	1	0	1	39	17	0	0	0	0	0	0	0	0	0	0	3	0	0	3	18	2	26	21	0	4	129	50	7	11	123	226	479	171	0	0	457	508	3
Bifidobacterium breve	29	1	0	2	1	178	6	5	0	0	0	119	18	10	1	1	0	0	5	10	93	320	285	4	11	5372	10171	21	48	0	8	0	0	0	1	0	133	7	5	98	0	0	15	0	2	0	12	32	3	0	0	0	8	15	0	1	28	20	4	2	0	24	28	13	26	4	2	20	4	0	0	9	17	61	23	14	0	2	26	5	7	0	53	0	3	14	1	4	2	2	1	0	0	0	27	11	2	0	0	147	3	0	0	0	32	23	21	2	1	1	23	24	7	6	47	169	14	56	0	1	4	25	0
Brachybacterium muris	292	50	12	154	20	4985	195	42	31234	808	14344	1893	6827	1067	1372	69774	827	1909	361	231	3154	5042	5504	28	87	1215	2088	92	369	23	28	10	3	199	18	20	3680	19	14	429	335	188	328	28	31	1006	42	304	75	329	260	2938	50	23	4	7	604	250	4	3	970	1308	2989	624	651	58	26	491	137	14	31	1756	8840	52270	7447	12179	128	309	17555	20732	979	173	2343	2936	2399	1106	132	253	1466	1827	55	17	72	598	369	126	4	3	1	133	36	14	106	128	276	186	507	325	13	45	289	174	142	301	472	607	280	319	3	759	1916	1383	5
Brachybacterium paraconglomeratum	474	62	42	22	25	3391	12	40	2237	249	2235	9192	768	71	44	3750	163	95	30	7	23	154	90	15	32	122	87	16	13	107	281	2	9	1094	49	97	2584	12	10	1713	3230	1644	4719	91	243	2099	191	1255	929	540	13656	748	442	152	12	7	4079	887	2	1	27766	63063	131574	9907	21564	1587	1323	22123	6937	347	358	14472	72308	297062	61450	105466	5486	16209	77248	95302	9753	1900	17329	27534	79563	7913	1182	2569	12598	25894	444	240	731	606	1799	796	16	21	827	2331	89	37	5383	5941	5453	6028	19478	12625	392	1607	7519	7919	2820	8278	1137	227	369	366	25	4910	2582	1563	19
Brevibacterium casei	117	9	11	1	8	177	7	7	445	48	384	888	551	11	20	1054	11	25	56	20	60	543	509	1	5	136	232	9	29	20	18	7	6	121	3	9	787	4	7	403	901	442	3037	38	72	383	68	926	771	4	2861	1	62	34	1	0	339	118	0	1	5414	12000	45051	3315	5675	306	207	8044	2356	36	86	305	1341	6857	2167	2482	53	114	3336	3045	266	55	825	1012	238	347	45	44	455	366	20	5	600	2196	1516	1755	3	7	1100	6467	56	38	2101	2290	1813	1769	7958	4612	88	273	3070	2749	947	2643	1063	2048	3874	2905	4	71	9197	7236	49
Brevibacterium linens	149	4	8	3	1	105	1	1	398	1040	638	866	42	9	3	246	59	21	19	0	4	70	20	1	1	75	25	3	1	18	7	1	1	17	0	0	106	2	0	298	43	103	79	1	1	392	24	23	25	0	590	80	9	13	1	0	295	42	1	0	1895	2328	3754	4291	5619	116	74	733	163	5	31	98	245	663	265	309	8	22	305	336	68	7	184	237	123	76	9	20	118	70	2	2	196	458	311	345	8	20	69	511	57	29	315	366	1594	968	1757	875	49	165	1423	437	256	516	105	34	36	49	13	255	221	150	3
Brevibacterium mcbrellneri	36	56	62	37	20	182	1396	1401	199	0	188	0	57	14	6	694	78	36	2	1	5	14	24	1	2	6	13	0	0	0	19	11	17	69	77	49	219	1574	1180	14	37	0	29	1	2	1159	4	87	10	1	47	1229	1810	1034	2	19	7468	11165	10	20	229	495	4086	306	449	20	14	1119	309	928	367	67	155	314	172	256	3	6	211	167	18	5	678	747	897	365	32	108	322	597	21	8	0	15	50	34	2	4	1	224	7	5	79	142	693	650	860	658	17	64	12689	17968	109	361	325	302	253	203	3	0	620	597	2
Brevundimonas diminuta	406	42	13	7	7	594	8	2	3637	444	2712	1992	690	77	27	1756	231	104	28	7	93	384	235	2	9	325	484	11	34	5	58	4	3	324	8	5	781	5	2	3204	3739	3963	2837	7	13	4701	2018	249	117	666	655	1628	404	144	3	4	1557	1078	9	0	2421	2236	13005	1327	1459	71	26	3828	338	67	59	283	253	1522	929	503	4	0	2360	358	40	2	650	276	263	168	14	21	586	140	134	3	325	432	825	384	21	57	890	229	466	19	445	197	806	308	1414	438	27	69	985	476	350	511	988	447	7190	917	77	7440	6263	3012	606
Brevundimonas nasdae	261	18	2	9	7	416	5	13	988	562	385	397	230	35	56	673	73	126	18	5	34	420	200	1	0	125	129	5	16	21	29	3	4	249	2	6	365	1	4	6671	16366	27397	22277	35	45	36062	19040	1033	789	1	1575	3009	800	243	0	1	2453	2731	4	5	4548	7460	11599	2233	3361	118	41	3256	961	45	98	188	510	1849	739	740	10	22	2033	1512	115	19	231	55	68	60	19	2	294	73	3	3	171	279	395	373	24	7	4514	246	30	18	422	289	757	443	1450	658	23	54	952	522	483	768	237	34	226	131	50	634	871	745	23
Corynebacterium accolens	2433	418	432	141	302	2859	60	80	3762	1176	4034	6470	1062	784	876	3910	2036	2969	555	410	1666	27499	30521	154	679	1051	1826	331	1340	305	527	30	143	3039	859	1149	3135	88	134	1575	1811	1633	844	14	32	526	173	455	109	494	2669	2128	2104	5314	24	131	7098	5507	27	54	3474	4768	21726	2977	5280	399	306	1118	229	423	107	1062	2799	9646	5181	6698	141	392	3023	2482	248	69	2683	1810	680	991	174	325	2399	1337	42	11	578	1370	2161	702	72	79	2620	1228	134	40	550	521	2410	2169	4815	2818	162	640	1975	868	534	985	3679	4012	5964	4850	182	22906	6154	5296	47
Corynebacterium afermentans	1629	60	44	27	40	4787	37	74	35453	166	11721	514	1904	208	157	15538	253	344	9	0	11	85	53	4	0	266	163	8	10	115	192	46	106	1141	146	111	4843	28	28	422	1506	890	503	17	32	901	137	152	111	1455	1398	25585	24772	14525	43	123	51173	104176	148	240	4625	4541	48479	2465	4694	836	593	13426	2301	225	188	689	2621	15235	4844	6559	8	29	6612	7344	148	40	3145	2988	1544	1332	91	192	1812	3284	48	17	1721	5579	3258	3749	39	91	1948	16666	241	93	448	434	1185	615	1953	1199	62	120	2382	2384	405	1045	9598	39210	27101	22254	33	1589	24023	38825	123
Corynebacterium amycolatum	633	194	262	45	82	4083	42	67	914	588	954	391	67	37	37	1327	66	110	94	38	189	1104	970	8	28	2034	4819	40	158	164	372	36	95	702	93	101	12470	4	10	1164	2749	6658	3434	18	34	3859	3321	319	240	2	286	1096	794	778	4	15	2376	2899	8	7	1286	1265	10112	1739	2903	68	28	1896	492	20	47	314	945	4078	1474	2102	6	7	4194	3281	91	18	2696	2953	1218	1306	83	180	4513	6235	37	18	575	2329	1214	1358	22	30	748	5576	116	43	1461	1710	7532	7633	13831	8449	107	437	101828	115219	1027	3054	2464	3906	8369	5528	16	1179	6885	5799	57
Corynebacterium aurimucosum	10548	1728	1942	1343	2622	43955	310	743	15027	3691	29725	7462	4222	15531	17174	56731	1756	2501	213	128	763	3182	3388	229	931	12416	12488	149	434	9145	15654	584	2245	23853	8786	13211	115906	254	440	13648	7807	8460	17284	841	1935	9256	4939	3694	2571	1636	8220	50050	47100	62950	572	3234	112487	165684	328	618	18315	23083	163438	21824	35152	4698	2998	20287	4389	287	720	8945	36455	112863	49277	64104	28434	87497	39749	35169	3607	991	52118	56944	48315	34695	8864	16050	71407	127519	1199	458	19155	53321	36590	43846	1928	3752	7931	45298	2986	1450	3937	4129	14628	12878	33457	20134	1353	6003	26635	30077	4135	10132	54635	189679	241633	191895	1437	15482	179122	231899	1098
