Sample	Diln.	(A) Bacteria Single Cell #	(B) Bead #	(C) AccuCount Particle # for 30uL 	(D) Volume run in machine	(E) Cells/uL	(F) Swab Dim. (sq cm)	(G) Volume of PBS for swab (uL)	(H) Total Cells per sqcm		
1-Abd	1	98430	799	30000	250	14,782.98	50.41	650	190615.6749		Formula
1-Abd-PMA	1			30000	250	#DIV/0!	50.41	650	#DIV/0!		(E) =  ((A/B)x(C/D))
1-AC	1	19625	748	30000	250	3,148.40	35	650	58470.20626		(H) = (E) x (G) / (F)
1-AC-PMA	1	20829	1628	30000	250	1,535.31	35	650	28512.84661		
1-FA	1	18645	2946	30000	250	759.47	51.3	650	9622.920165		
1-FA-PMA	1	3864	1767	30000	250	262.41	51.3	650	3324.894012		
1-FH	1	8232	2202	30000	250	448.61	43.68	650	6675.749319		
1-FH-PMA	1	4486	1277	30000	250	421.55	43.68	650	6273.073051		
1-PC	1	4063	2907	30000	250	167.72	50.63	650	2153.220301		
1-PC-PMA	1	1549	4347	30000	250	42.76	50.63	650	548.969799		
1-UB	1	71595	277	30000	250	31,015.88	63.05	650	319751.3864		
1-UB-PMA	1	47661	409	30000	250	13,983.67	63.05	650	144161.5204		
10-Abd	1	519	4603	30000	250	13.53	50.41	650	174.4633824		
10-Abd-PMA	1	25	4509	30000	250	0.67	50.41	650	8.579019967		
10-AC	1	1000	4313	30000	250	27.82	35	650	516.7102779		
10-AC-PMA	1	60	4329	30000	250	1.66	35	650	30.88803089		
10-FA	1	3876	4116	30000	250	113.00	51.3	650	1431.81082		
10-FA-PMA	1	12	4429	30000	250	0.33	51.3	650	4.119578694		
10-FH	1	4902	4504	30000	250	130.60	43.68	650	1943.51053		
10-FH-PMA	1	5493	4402	30000	250	149.74	43.68	650	2228.289089		
10-PC	1	1522	4302	30000	250	42.45	50.63	650	545.0431949		
10-PC-PMA	1	33	4583	30000	250	0.86	50.63	650	11.09304457		
10-UB	1	28424	4986	30000	250	684.09	63.05	650	7052.489238		
10-UB-PMA	1	12346	4115	30000	250	360.03	63.05	650	3711.640841		
11-Abd	1	26802	4096	30000	250	785.21	50.41	650	10124.76986		
11-Abd-PMA	1	8535	4380	30000	250	233.84	50.41	650	3015.138875		
11-AC	1	19371	3607	30000	250	644.45	35	650	11968.29973		
11-AC-PMA	1	6755	4262	30000	250	190.19	35	650	3532.144533		
11-FA	1	9931	3912	30000	250	304.63	51.3	650	3859.858405		
11-FA-PMA	1	746	4595	30000	250	19.48	51.3	650	246.8485323		
11-FH	1	44046	970	30000	250	5,448.99	43.68	650	81086.15611		
11-FH-PMA	1	41991	766	30000	250	6,578.22	43.68	650	97890.24618		
11-PC	1	11788	4586	30000	250	308.45	50.63	650	3959.977808		
11-PC-PMA	1	473	4615	30000	250	12.30	50.63	650	157.8978115		
11-UB	1	70969	934	30000	250	9,118.07	63.05	650	94000.75057		
11-UB-PMA	1	61964	1114	30000	250	6,674.76	63.05	650	68811.93433		
2-Abd	1	2362	3832	30000	250	73.97	50.41	650	953.7450526		
2-Abd-PMA	1	156	3569	30000	250	5.25	50.41	650	67.63258012		
2-AC	1	1107	3060	30000	250	43.41	35	650	806.2184874		
2-AC-PMA	1	118	3986	30000	250	3.55	35	650	65.97376532		
2-FA	1	1240	3800	30000	250	39.16	51.3	650	496.1526624		
2-FA-PMA	1	66	3664	30000	250	2.16	51.3	650	27.38833985		
2-FH	1	27613	1487	30000	250	2,228.35	43.68	650	33160.00576		
2-FH-PMA	1	20052	1231	30000	250	1,954.70	43.68	650	29087.8496		
2-PC	1	5403	2996	30000	250	216.41	50.63	650	2778.304445		
2-PC-PMA	1	304	3	30000	250	12,160.00	50.63	650	156112.9765		
2-UB	1	8017	2910	30000	250	330.60	63.05	650	3408.226166		
2-UB-PMA	1	4326	3612	30000	250	143.72	63.05	650	1481.659075		
3-Abd	1	14403	3629	30000	250	476.26	50.41	650	6141.067878		
3-Abd-PMA	1	52030	614	30000	250	10,168.73	50.41	650	131118.3152		
3-AC	1			30000	250	#DIV/0!	35	650	#DIV/0!		
3-AC-PMA	1			30000	250	#DIV/0!	35	650	#DIV/0!		
3-FA	1	4722	1300	30000	250	435.88	51.3	650	5522.807018		
3-FA-PMA	1	3575	2982	30000	250	143.86	51.3	650	1822.827805		
3-FH	1	98829	354	30000	250	33,501.36	43.68	650	498532.0823		
3-FH-PMA	1	98428	308	30000	250	38,348.57	43.68	650	570663.2653		
3-PC	1	1991	1214	30000	250	196.80	50.63	650	2526.616038		
3-PC-PMA	1	866	3903	30000	250	26.63	50.63	650	341.8267265		
3-UB	1	98750	365	30000	250	32,465.75	63.05	650	334698.4889		
3-UB-PMA	1	78794	443	30000	250	21,343.75	63.05	650	220038.6307		
4-Abd	1	2118	3707	30000	250	68.56	50.41	650	884.0590514		
4-Abd-PMA	1	126	4447	30000	250	3.40	50.41	650	43.84108774		
4-AC	1	14958	3297	30000	250	544.42	35	650	10110.69804		
4-AC-PMA	1	1193	4313	30000	250	33.19	35	650	616.4353615		
4-FA	1	17156	4463	30000	250	461.29	51.3	650	5844.756038		
4-FA-PMA	1	366	4267	30000	250	10.29	51.3	650	130.4174427		
4-FH	1	62229	793	30000	250	9,416.75	43.68	650	140130.1567		
4-FH-PMA	1	27684	278	30000	250	11,949.93	43.68	650	177826.3104		
4-PC	1	7956	4445	30000	250	214.79	50.63	650	2757.462941		
4-PC-PMA	1	742	4141	30000	250	21.50	50.63	650	276.0484736		
4-UB	1	98244	284	30000	250	41,511.55	63.05	650	427954.1165		
4-UB-PMA	1	77666	356	30000	250	26,179.55	63.05	650	269892.2738		
5-Abd	1	13619	4088	30000	250	399.77	50.41	650	5154.804963		
5-Abd-PMA	1	4681	4554	30000	250	123.35	50.41	650	1590.462816		
5-AC	1	26807	2193	30000	250	1,466.87	35	650	27241.82138		
5-AC-PMA	1	23203	4016	30000	250	693.32	35	650	12875.88219		
5-FA	1	19594	2399	30000	250	980.11	51.3	650	12418.52721		
5-FA-PMA	1	11407	4087	30000	250	334.93	51.3	650	4243.693812		
5-FH	1	36688	1013	30000	250	4,346.06	43.68	650	64673.52983		
5-FH-PMA	1	47218	248	30000	250	22,847.42	43.68	650	339991.3594		
5-PC	1	16911	4295	30000	250	472.48	50.63	650	6065.865784		
5-PC-PMA	1	2934	4349	30000	250	80.96	50.63	650	1039.339367		
5-UB	1	35998	915	30000	250	4,721.05	63.05	650	48670.61011		
5-UB-PMA	1	16321	544	30000	250	3,600.22	63.05	650	37115.67617		
6-Abd	1	20470	4393	30000	250	559.16	50.41	650	7209.988046		
6-Abd-PMA	1	4972	4433	30000	250	134.59	50.41	650	1735.446756		
6-AC	1	10629	3668	30000	250	347.73	35	650	6457.875058		
6-AC-PMA	1	1561	4276	30000	250	43.81	35	650	813.5640786		
6-FA	1	13469	5148	30000	250	313.96	51.3	650	3978.084943		
6-FA-PMA	1	676	4156	30000	250	19.52	51.3	650	247.3138251		
6-FH	1	8190	4351	30000	250	225.88	43.68	650	3361.296254		
6-FH-PMA	1	3397	4224	30000	250	96.51	43.68	650	1436.096456		
6-PC	1	7489	4098	30000	250	219.30	50.63	650	2815.389923		
6-PC-PMA	1	1050	5615	30000	250	22.44	50.63	650	288.0886933		
6-UB	1	14852	1208	30000	250	1,475.36	63.05	650	15209.9406		
6-UB-PMA	1	14165	4149	30000	250	409.69	63.05	650	4223.59878		
7-Abd	1	32043	3834	30000	250	1,002.91	50.41	650	12931.79962		
7-Abd-PMA	1	13252	3800	30000	250	418.48	50.41	650	5396.04715		
7-AC	1	43942	3810	30000	250	1,384.00	35	650	25702.85714		
7-AC-PMA	1	11510	4245	30000	250	325.37	35	650	6042.604745		
7-FA	1	9270	3918	30000	250	283.92	51.3	650	3597.431557		
7-FA-PMA	1	1871	4181	30000	250	53.70	51.3	650	680.4102659		
7-FH	1	39099	440	30000	250	10,663.36	43.68	650	158681.0065		
7-FH-PMA	1	20375	277	30000	250	8,826.71	43.68	650	131349.9226		
7-PC	1	6002	3791	30000	250	189.99	50.63	650	2439.095933		
7-PC-PMA	1	1435	4467	30000	250	38.55	50.63	650	494.9058916		
7-UB	1	41491	703	30000	250	7,082.39	63.05	650	73014.3274		
7-UB-PMA	1	6439	333	30000	250	2,320.36	63.05	650	23921.24083		
8-Abd	1	1834	3893	30000	250	56.53	50.41	650	728.9417631		
8-Abd-PMA	1	84	4322	30000	250	2.33	50.41	650	30.07270048		
8-AC	1	15693	3903	30000	250	482.49	35	650	8960.535852		
8-AC-PMA	1	103	4067	30000	250	3.04	35	650	56.44033861		
8-FA	1	5225	4154	30000	250	150.94	51.3	650	1912.480608		
8-FA-PMA	1	139	3764	30000	250	4.43	51.3	650	56.14905134		
8-FH	1	5178	3523	30000	250	176.37	43.68	650	2624.589433		
8-FH-PMA	1	1611	2305	30000	250	83.87	43.68	650	1248.063217		
8-PC	1	8805	4051	30000	250	260.82	50.63	650	3348.526902		
8-PC-PMA	1	60	3746	30000	250	1.92	50.63	650	24.67573813		
8-UB	1	7889	3437	30000	250	275.44	63.05	650	2839.565793		
8-UB-PMA	1	440	4296	30000	250	12.29	63.05	650	126.7062144		
9-Abd	1	6369	3973	30000	250	192.37	50.41	650	2480.45064		
9-Abd-PMA	1	602	4233	30000	250	17.07	50.41	650	220.0524094		
9-AC	1	2101	3464	30000	250	72.78	35	650	1351.682613		
9-AC-PMA	1	44	4319	30000	250	1.22	35	650	22.70366818		
9-FA	1	2914	3850	30000	250	90.83	51.3	650	1150.816435		
9-FA-PMA	1	26	4311	30000	250	0.72	51.3	650	9.170068138		
9-FH	1	32315	631	30000	250	6,145.48	43.68	650	91450.64523		
9-FH-PMA	1	23959	732	30000	250	3,927.70	43.68	650	58447.98985		
9-PC	1	4189	3766	30000	250	133.48	50.63	650	1713.628672		
9-PC-PMA	1	44	4242	30000	250	1.24	50.63	650	15.97970243		
9-UB	1	56990	659	30000	250	10,377.54	63.05	650	106984.9663		
9-UB-PMA	1	41521	867	30000	250	5,746.85	63.05	650	59245.88877		
12-Abd	1	95928	2828	30360	250	4,119.34	50.41	650	53115.88263		
12-Abd-PMA	1	89350	4033	30360	250	2,690.47	50.41	650	34691.63374		
12-AC	1	38041	3852	30360	250	1,199.30	35	650	22272.6923		
12-AC-PMA	1	17691	4343	30360	250	494.68	35	650	9186.91343		
12-FA	1	8297	4360	30360	250	231.10	51.3	650	2928.143463		
12-FA-PMA	1	3530	4492	30360	250	95.43	51.3	650	1209.18488		
12-FH	1	69142	3729	30360	250	2,251.70	43.68	650	33507.50105		
12-FH-PMA	1	85505	5567	30360	250	1,865.23	43.68	650	27756.37686		
12-PC	1	5423	4292	30360	250	153.44	50.63	650	1969.913148		
12-PC-PMA	1	1438	4229	30360	250	41.29	50.63	650	530.1373327		
12-UB	1	97853	910	30360	250	13,058.54	63.05	650	134624.0888		
12-UB-PMA	1	85124	2882	30360	250	3,586.90	63.05	650	36978.39616		