Sample,Bacteria Single Cell # (A),Bead # (B),AccuCount Particle # for 30uL (C),Volume Sample Initial (D),Cells/uL  ((A/B)x(C/D))
1-Abd,98430,799,30000,300,12319.15
1-Abd-PMA,,,30000,300,#DIV/0!
1-AC,19625,748,30000,300,2623.66
1-AC-PMA,20829,1628,30000,300,1279.42
1-FA,18645,2946,30000,300,632.89
1-FA-PMA,3864,1767,30000,300,218.68
1-FH,8232,2202,30000,300,373.84
1-FH-PMA,4486,1277,30000,300,351.29
1-PC,4063,2907,30000,300,139.77
1-PC-PMA,1549,4347,30000,300,35.63
1-UB,71595,277,30000,300,25846.57
1-UB-PMA,47661,409,30000,300,11653.06
10-Abd,519,4603,30000,300,11.28
10-Abd-PMA,25,4509,30000,300,0.55
10-AC,1000,4313,30000,300,23.19
10-AC-PMA,60,4329,30000,300,1.39
10-FA,3876,4116,30000,300,94.17
10-FA-PMA,12,4429,30000,300,0.27
10-FH,4902,4504,30000,300,108.84
10-FH-PMA,5493,4402,30000,300,124.78
10-PC,1522,4302,30000,300,35.38
10-PC-PMA,33,4583,30000,300,0.72
10-UB,28424,4986,30000,300,570.08
10-UB-PMA,12346,4115,30000,300,300.02
11-Abd,26802,4096,30000,300,654.35
11-Abd-PMA,8535,4380,30000,300,194.86
11-AC,19371,3607,30000,300,537.04
11-AC-PMA,6755,4262,30000,300,158.49
11-FA,9931,3912,30000,300,253.86
11-FA-PMA,746,4595,30000,300,16.24
11-FH,44046,970,30000,300,4540.82
11-FH-PMA,41991,766,30000,300,5481.85
11-PC,11788,4586,30000,300,257.04
11-PC-PMA,473,4615,30000,300,10.25
11-UB,70969,934,30000,300,7598.39
11-UB-PMA,61964,1114,30000,300,5562.3
2-Abd,2362,3832,30000,300,61.64
2-Abd-PMA,156,3569,30000,300,4.37
2-AC,1107,3060,30000,300,36.18
2-AC-PMA,118,3986,30000,300,2.96
2-FA,1240,3800,30000,300,32.63
2-FA-PMA,66,3664,30000,300,1.8
2-FH,27613,1487,30000,300,1856.96
2-FH-PMA,20052,1231,30000,300,1628.92
2-PC,5403,2996,30000,300,180.34
2-PC-PMA,304,3,30000,300,10133.33
2-UB,8017,2910,30000,300,275.5
2-UB-PMA,4326,3612,30000,300,119.77
3-Abd,14403,3629,30000,300,396.89
3-Abd-PMA,52030,614,30000,300,8473.94
3-AC,,,30000,300,#DIV/0!
3-AC-PMA,,,30000,300,#DIV/0!
3-FA,4722,1300,30000,300,363.23
3-FA-PMA,3575,2982,30000,300,119.89
3-FH,98829,354,30000,300,27917.8
3-FH-PMA,98428,308,30000,300,31957.14
3-PC,1991,1214,30000,300,164
3-PC-PMA,866,3903,30000,300,22.19
3-UB,98750,365,30000,300,27054.79
3-UB-PMA,78794,443,30000,300,17786.46
4-Abd,2118,3707,30000,300,57.14
4-Abd-PMA,126,4447,30000,300,2.83
4-AC,14958,3297,30000,300,453.69
4-AC-PMA,1193,4313,30000,300,27.66
4-FA,17156,4463,30000,300,384.41
4-FA-PMA,366,4267,30000,300,8.58
4-FH,62229,793,30000,300,7847.29
4-FH-PMA,27684,278,30000,300,9958.27
4-PC,7956,4445,30000,300,178.99
4-PC-PMA,742,4141,30000,300,17.92
4-UB,98244,284,30000,300,34592.96
4-UB-PMA,77666,356,30000,300,21816.29
5-Abd,13619,4088,30000,300,333.15
5-Abd-PMA,4681,4554,30000,300,102.79
5-AC,26807,2193,30000,300,1222.39
5-AC-PMA,23203,4016,30000,300,577.76
5-FA,19594,2399,30000,300,816.76
5-FA-PMA,11407,4087,30000,300,279.1
5-FH,36688,1013,30000,300,3621.72
5-FH-PMA,47218,248,30000,300,19039.52
5-PC,16911,4295,30000,300,393.74
5-PC-PMA,2934,4349,30000,300,67.46
5-UB,35998,915,30000,300,3934.21
5-UB-PMA,16321,544,30000,300,3000.18
6-Abd,20470,4393,30000,300,465.97
6-Abd-PMA,4972,4433,30000,300,112.16
6-AC,10629,3668,30000,300,289.78
6-AC-PMA,1561,4276,30000,300,36.51
6-FA,13469,5148,30000,300,261.64
6-FA-PMA,676,4156,30000,300,16.27
6-FH,8190,4351,30000,300,188.23
6-FH-PMA,3397,4224,30000,300,80.42
6-PC,7489,4098,30000,300,182.75
6-PC-PMA,1050,5615,30000,300,18.7
6-UB,14852,1208,30000,300,1229.47
6-UB-PMA,14165,4149,30000,300,341.41
7-Abd,32043,3834,30000,300,835.76
7-Abd-PMA,13252,3800,30000,300,348.74
7-AC,43942,3810,30000,300,1153.33
7-AC-PMA,11510,4245,30000,300,271.14
7-FA,9270,3918,30000,300,236.6
7-FA-PMA,1871,4181,30000,300,44.75
7-FH,39099,440,30000,300,8886.14
7-FH-PMA,20375,277,30000,300,7355.6
7-PC,6002,3791,30000,300,158.32
7-PC-PMA,1435,4467,30000,300,32.12
7-UB,41491,703,30000,300,5901.99
7-UB-PMA,6439,333,30000,300,1933.63
8-Abd,1834,3893,30000,300,47.11
8-Abd-PMA,84,4322,30000,300,1.94
8-AC,15693,3903,30000,300,402.08
8-AC-PMA,103,4067,30000,300,2.53
8-FA,5225,4154,30000,300,125.78
8-FA-PMA,139,3764,30000,300,3.69
8-FH,5178,3523,30000,300,146.98
8-FH-PMA,1611,2305,30000,300,69.89
8-PC,8805,4051,30000,300,217.35
8-PC-PMA,60,3746,30000,300,1.6
8-UB,7889,3437,30000,300,229.53
8-UB-PMA,440,4296,30000,300,10.24
9-Abd,6369,3973,30000,300,160.31
9-Abd-PMA,602,4233,30000,300,14.22
9-AC,2101,3464,30000,300,60.65
9-AC-PMA,44,4319,30000,300,1.02
9-FA,2914,3850,30000,300,75.69
9-FA-PMA,26,4311,30000,300,0.6
9-FH,32315,631,30000,300,5121.24
9-FH-PMA,23959,732,30000,300,3273.09
9-PC,4189,3766,30000,300,111.23
9-PC-PMA,44,4242,30000,300,1.04
9-UB,56990,659,30000,300,8647.95
9-UB-PMA,41521,867,30000,300,4789.04
